139275,,0.089
,,0.089
01:Graph01,,0.089
mm,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
,,0.089
